id,status,source,reverse_link,title,link,dm,da,dm,da
11044,A,truthdig,http://online.wsj.com/article/SB10001424052970203476804576612930412626412.html,Senate Democrats Propose the Rich Pay for Jobs Bill,http://www.truthdig.com/eartotheground/item/senate_democrats_propose_rich_pay_for_jobs_bill_20111005/,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11045,A,prog,http://www.guardian.co.uk/world/2011/oct/04/tutu-attacks-anc-dalai-lama-visa,Tibet Continues to Seethe,http://www.progressive.org/tibet.html,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11046,A,nrdc,http://articles.latimes.com/2011/sep/28/opinion/la-ed-port-20110928,Getting It Wrong On The Environment And Good Jobs In Los Angeles,http://switchboard.nrdc.org/blogs/dpettit/getting_it_wrong_on_the_enviro.html,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11047,A,mj,http://swampland.time.com/2011/10/05/palin-will-not-seek-the-gop-nomination/,Sarah Palin Decides Against Demotion to President,http://motherjones.com/kevin-drum/2011/10/sarah-palin-decides-against-demotion-president,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11048,A,prog,http://www.npr.org/blogs/thetwo-way/2011/09/26/140811102/two-tibetan-monks-set-themselves-on-fire-in-china,Tibet Continues to Seethe,http://www.progressive.org/tibet.html,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11049,A,soj,http://www.huffingtonpost.com/social/Dalton_Perry/occupy-wall-street-protests-new-york_n_989221_110817910.html,#OccupyWallStreet: Helpful Links,http://blog.sojo.net/2011/10/05/occupywallstreet-helpful-links/,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11050,A,soj,http://www.wnyc.org/search/,#OccupyWallStreet: Helpful Links,http://blog.sojo.net/2011/10/05/occupywallstreet-helpful-links/,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11051,A,mj,http://latimesblogs.latimes.com/greenspace/2011/10/mattel-barbie-deforestation-asian-paper-and-pulp.html,Barbie Ends Troubled Relationship With Deforestation,http://motherjones.com/blue-marble/2011/10/barbie-ends-troubled-relationship-deforestation,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11052,A,prog,http://www.cbsnews.com/stories/2011/09/26/ap/asia/main20111490.shtml,Tibet Continues to Seethe,http://www.progressive.org/tibet.html,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11053,A,prog,"http://www.time.com/time/printout/0,8816,2095608,00.html",Tibet Continues to Seethe,http://www.progressive.org/tibet.html,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
11054,A,soj,http://www.huffingtonpost.com/joshua-hoyt/courage-cairo-egypt_b_987140.html,#OccupyWallStreet: Helpful Links,http://blog.sojo.net/2011/10/05/occupywallstreet-helpful-links/,2011-Oct-05,2011-Oct-05,1317860086000.0,1317860086000.0
